,2008,2009,2010,2011,2012,2013,2014,2015,2016,Min,Max,Average
Barking and Dagenham,17656.0,17713.0,17130.0,16686,15990,15759,15426,16346,16741,15426.0,17713.0,16598.727272727272
Barnet,23944.0,23449.0,23416.0,24007,23573,22510,22572,24036,24684,22510.0,24684.0,23580.454545454544
Bexley,15305.0,14445.0,13166.0,11325,11669,11552,11844,11990,12840,11325.0,15305.0,12796.90909090909
Brent,23504.0,24748.0,25512.0,27669,26357,23759,24426,24883,26693,23504.0,27669.0,25338.545454545456
Bromley,24015.0,21858.0,19572.0,19868,19622,18945,19668,20637,20164,18945.0,24015.0,20664.454545454544
Camden,32010.0,31612.0,31804.0,33956,31472,28435,27198,29477,29183,27198.0,33956.0,30572.81818181818
Croydon,29516.0,29784.0,29373.0,29830,30189,27444,27357,28089,28712,27357.0,30189.0,28894.545454545456
Ealing,28947.0,28617.0,31360.0,29537,28832,25917,24978,26247,27127,24978.0,31360.0,27990.909090909092
Enfield,21980.0,21147.0,20808.0,21041,21069,21574,21700,22076,22485,20808.0,22485.0,21561.18181818182
Greenwich,22010.0,19851.0,18626.0,18552,20028,18948,19894,20929,22730,18552.0,22730.0,20259.090909090908
Hackney,22004.0,20718.0,20175.0,21395,27095,25633,24893,26941,28265,20175.0,28265.0,24141.727272727276
Hammersmith and Fulham,21114.0,21211.0,21941.0,22151,21030,18605,19185,19848,20174,18605.0,22151.0,20546.81818181818
Haringey,25724.0,23704.0,22156.0,23179,23231,20705,22773,24626,27174,20705.0,27174.0,23741.0
Harrow,13774.0,13948.0,13945.0,12801,12803,11914,11909,12601,13153,11909.0,13948.0,12973.181818181818
Havering,15395.0,14538.0,14957.0,15496,15965,15089,14734,15870,16903,14538.0,16903.0,15489.818181818182
Hillingdon,24318.0,24605.0,23421.0,24282,22103,20248,23128,23234,24341,20248.0,24605.0,23139.363636363636
Hounslow,20204.0,19783.0,19665.0,21105,22724,19749,20005,21286,22251,19665.0,22724.0,20832.81818181818
Islington,26273.0,25485.0,24693.0,24980,26268,23784,24679,27032,27092,23784.0,27092.0,25560.18181818182
Kensington and Chelsea,20663.0,18742.0,19481.0,19146,19757,17702,17840,19070,19580,17702.0,20663.0,19122.363636363636
Kingston upon Thames,10661.0,10163.0,10171.0,10155,9956,9191,9288,9738,9983,9191.0,10661.0,9923.454545454546
Lambeth,31717.0,31225.0,31671.0,33224,33473,31868,31765,33164,34071,31225.0,34071.0,32497.636363636364
Lewisham,27054.0,25182.0,24532.0,24201,23652,22074,21101,23437,23904,21101.0,27054.0,23935.636363636364
Merton,13875.0,13561.0,13595.0,13548,12856,11595,11596,12273,12755,11595.0,13875.0,12829.454545454546
Newham,29752.0,28610.0,30728.0,27978,30067,27577,28005,29217,30090,27577.0,30728.0,29120.81818181818
Redbridge,20873.0,20837.0,20652.0,21994,21424,19793,19590,18897,19502,18897.0,21994.0,20404.81818181818
Richmond upon Thames,11106.0,10618.0,10601.0,10896,11168,10439,10456,10413,11074,10413.0,11168.0,10759.272727272728
Southwark,33470.0,30623.0,31320.0,30723,30737,31128,28912,30260,31636,28912.0,33470.0,31017.363636363636
Sutton,12943.0,12240.0,12032.0,11068,10948,10057,10443,10598,10658,10057.0,12943.0,11271.545454545454
Tower Hamlets,23578.0,21959.0,23072.0,24712,26784,26258,25504,27493,29253,21959.0,29253.0,25438.636363636364
Waltham Forest,24080.0,24761.0,24818.0,23714,22647,21903,20271,20969,20716,20271.0,24818.0,22633.454545454544
Wandsworth,23330.0,23021.0,22815.0,21384,24457,22290,21364,22401,23679,21364.0,24457.0,22778.363636363636
Westminster,47846.0,48456.0,48116.0,54243,59226,53852,47564,47395,48330,47395.0,59226.0,51059.0
